state,year,name,value
vermont,2020,dem_votes,242820
vermont,2020,total_votes,367428
virginia,2020,rep_votes,1962430
virginia,2020,dem_votes,2413568
virginia,2020,total_votes,4460524
washington,2020,rep_votes,1584651
washington,2020,dem_votes,2369612
washington,2020,total_votes,4087631
west virginia,2020,rep_votes,545382
west virginia,2020,dem_votes,235984
west virginia,2020,total_votes,794731
wisconsin,2020,rep_votes,1610184
wisconsin,2020,dem_votes,1630866
wisconsin,2020,total_votes,3298041
wyoming,2020,rep_votes,193559
wyoming,2020,dem_votes,73491
wyoming,2020,total_votes,276765
alabama,2016,rep_votes,1318255
alabama,2016,dem_votes,729547
alabama,2016,total_votes,2123372
alaska,2016,rep_votes,163387
alaska,2016,dem_votes,116454
alaska,2016,total_votes,318608
arizona,2016,rep_votes,1252401
arizona,2016,dem_votes,1161167
arizona,2016,total_votes,2604657
arkansas,2016,rep_votes,684872
arkansas,2016,dem_votes,380494
arkansas,2016,total_votes,1130676
california,2016,rep_votes,4483810
california,2016,dem_votes,8753788
california,2016,total_votes,14181595
colorado,2016,rep_votes,1202484
colorado,2016,dem_votes,1338870
colorado,2016,total_votes,2780247
connecticut,2016,rep_votes,673215
connecticut,2016,dem_votes,897572
connecticut,2016,total_votes,1644920
delaware,2016,rep_votes,185127
delaware,2016,dem_votes,235603
delaware,2016,total_votes,443814
district of columbia,2016,rep_votes,12723
district of columbia,2016,dem_votes,282830
district of columbia,2016,total_votes,311268
florida,2016,rep_votes,4617886
florida,2016,dem_votes,4504975
florida,2016,total_votes,9420039
georgia,2016,rep_votes,2089104
georgia,2016,dem_votes,1877963
georgia,2016,total_votes,4114732
hawaii,2016,rep_votes,128847
hawaii,2016,dem_votes,266891
hawaii,2016,total_votes,428937
idaho,2016,rep_votes,409055
idaho,2016,dem_votes,189765
idaho,2016,total_votes,690255
illinois,2016,rep_votes,2146015
illinois,2016,dem_votes,3090729
illinois,2016,total_votes,5536424
indiana,2016,rep_votes,1557286
indiana,2016,dem_votes,1033126
indiana,2016,total_votes,2734958
iowa,2016,rep_votes,800983
iowa,2016,dem_votes,653669
iowa,2016,total_votes,1566031
kansas,2016,rep_votes,671018
kansas,2016,dem_votes,427005
kansas,2016,total_votes,1184402
kentucky,2016,rep_votes,1202971
kentucky,2016,dem_votes,628854
kentucky,2016,total_votes,1924149
louisiana,2016,rep_votes,1178638
louisiana,2016,dem_votes,780154
louisiana,2016,total_votes,2029032
maine,2016,rep_votes,335593
maine,2016,dem_votes,357735
maine,2016,total_votes,747927
maryland,2016,rep_votes,943169
maryland,2016,dem_votes,1677928
maryland,2016,total_votes,2781446
massachusetts,2016,rep_votes,1090893
massachusetts,2016,dem_votes,1995196
massachusetts,2016,total_votes,3325046
michigan,2016,rep_votes,2279543
michigan,2016,dem_votes,2268839
michigan,2016,total_votes,4799284
minnesota,2016,rep_votes,1322951
minnesota,2016,dem_votes,1367716
minnesota,2016,total_votes,2944813
mississippi,2016,rep_votes,700714
mississippi,2016,dem_votes,485131
mississippi,2016,total_votes,1209357
missouri,2016,rep_votes,1594511
missouri,2016,dem_votes,1071068
missouri,2016,total_votes,2808605
montana,2016,rep_votes,279240
montana,2016,dem_votes,177709
montana,2016,total_votes,497147
nebraska,2016,rep_votes,495961
nebraska,2016,dem_votes,284494
nebraska,2016,total_votes,844227
nevada,2016,rep_votes,512058
nevada,2016,dem_votes,539260
nevada,2016,total_votes,1125385
new hampshire,2016,rep_votes,345790
new hampshire,2016,dem_votes,348526
new hampshire,2016,total_votes,744296
new jersey,2016,rep_votes,1601933
new jersey,2016,dem_votes,2148278
new jersey,2016,total_votes,3874046
new mexico,2016,rep_votes,319667
new mexico,2016,dem_votes,385234
new mexico,2016,total_votes,798319
new york,2016,rep_votes,2819534
new york,2016,dem_votes,4556124
new york,2016,total_votes,7721453
north carolina,2016,rep_votes,2362631
north carolina,2016,dem_votes,2189316
north carolina,2016,total_votes,4741564
north dakota,2016,rep_votes,216794
north dakota,2016,dem_votes,93758
north dakota,2016,total_votes,344360
ohio,2016,rep_votes,2841005
ohio,2016,dem_votes,2394164
ohio,2016,total_votes,5496487
oklahoma,2016,rep_votes,949136
oklahoma,2016,dem_votes,420375
oklahoma,2016,total_votes,1452992
oregon,2016,rep_votes,782403
oregon,2016,dem_votes,1002106
oregon,2016,total_votes,2001336
pennsylvania,2016,rep_votes,2970733
pennsylvania,2016,dem_votes,2926441
pennsylvania,2016,total_votes,6165478
rhode island,2016,rep_votes,180543
rhode island,2016,dem_votes,252525
rhode island,2016,total_votes,464144
south carolina,2016,rep_votes,1155389
south carolina,2016,dem_votes,855373
south carolina,2016,total_votes,2103027
south dakota,2016,rep_votes,227721
south dakota,2016,dem_votes,117458
south dakota,2016,total_votes,370093
tennessee,2016,rep_votes,1522925
tennessee,2016,dem_votes,870695
tennessee,2016,total_votes,2508027
texas,2016,rep_votes,4685047
texas,2016,dem_votes,3877868
texas,2016,total_votes,8969226
utah,2016,rep_votes,515231
utah,2016,dem_votes,310676
utah,2016,total_votes,1131430
vermont,2016,rep_votes,95369
vermont,2016,dem_votes,178573
vermont,2016,total_votes,315067
virginia,2016,rep_votes,1769443
virginia,2016,dem_votes,1981473
virginia,2016,total_votes,3984631
washington,2016,rep_votes,1221747
washington,2016,dem_votes,1742718
washington,2016,total_votes,3317019
west virginia,2016,rep_votes,489371
west virginia,2016,dem_votes,188794
west virginia,2016,total_votes,714423
wisconsin,2016,rep_votes,1405284
wisconsin,2016,dem_votes,1382536
wisconsin,2016,total_votes,2976150
wyoming,2016,rep_votes,174419
wyoming,2016,dem_votes,55973
wyoming,2016,total_votes,255849
alabama,2012,rep_votes,1255925
alabama,2012,dem_votes,795696
alabama,2012,total_votes,2074338
alaska,2012,rep_votes,164676
alaska,2012,dem_votes,122640
alaska,2012,total_votes,300495
arizona,2012,rep_votes,1233654
arizona,2012,dem_votes,1025232
arizona,2012,total_votes,2299254
arkansas,2012,rep_votes,647744
arkansas,2012,dem_votes,394409
arkansas,2012,total_votes,1069468
california,2012,rep_votes,4839958
california,2012,dem_votes,7854285
california,2012,total_votes,13038547
colorado,2012,rep_votes,1185243
colorado,2012,dem_votes,1323102
colorado,2012,total_votes,2569518
connecticut,2012,rep_votes,634892
connecticut,2012,dem_votes,905083
connecticut,2012,total_votes,1558960
delaware,2012,rep_votes,165484
delaware,2012,dem_votes,242584
delaware,2012,total_votes,413921
district of columbia,2012,rep_votes,21381
district of columbia,2012,dem_votes,267070
district of columbia,2012,total_votes,293764
florida,2012,rep_votes,4163447
florida,2012,dem_votes,4237756
florida,2012,total_votes,8474179
georgia,2012,rep_votes,2078688
georgia,2012,dem_votes,1773827
georgia,2012,total_votes,3900050
hawaii,2012,rep_votes,121015
hawaii,2012,dem_votes,306658
hawaii,2012,total_votes,434697
idaho,2012,rep_votes,420911
idaho,2012,dem_votes,212787
idaho,2012,total_votes,652274
illinois,2012,rep_votes,2135216
illinois,2012,dem_votes,3019512
illinois,2012,total_votes,5242014
indiana,2012,rep_votes,1420543
indiana,2012,dem_votes,1152887
indiana,2012,total_votes,2624534
iowa,2012,rep_votes,730617
iowa,2012,dem_votes,822544
iowa,2012,total_votes,1582180
kansas,2012,rep_votes,692634
kansas,2012,dem_votes,440726
kansas,2012,total_votes,1159971
kentucky,2012,rep_votes,1087190
kentucky,2012,dem_votes,679370
kentucky,2012,total_votes,1797212
louisiana,2012,rep_votes,1152262
louisiana,2012,dem_votes,809141
louisiana,2012,total_votes,1994065
maine,2012,rep_votes,292276
maine,2012,dem_votes,401306
maine,2012,total_votes,713180
maryland,2012,rep_votes,971869
maryland,2012,dem_votes,1677844
maryland,2012,total_votes,2707327
massachusetts,2012,rep_votes,1188314
massachusetts,2012,dem_votes,1921290
massachusetts,2012,total_votes,3167767
michigan,2012,rep_votes,2115256
michigan,2012,dem_votes,2564569
michigan,2012,total_votes,4730961
minnesota,2012,rep_votes,1320225
minnesota,2012,dem_votes,1546167
minnesota,2012,total_votes,2936561
mississippi,2012,rep_votes,710746
mississippi,2012,dem_votes,562949
mississippi,2012,total_votes,1285584
missouri,2012,rep_votes,1482440
missouri,2012,dem_votes,1223796
missouri,2012,total_votes,2757323
montana,2012,rep_votes,267928
montana,2012,dem_votes,201839
montana,2012,total_votes,484048
nebraska,2012,rep_votes,475064
nebraska,2012,dem_votes,302081
nebraska,2012,total_votes,794379
nevada,2012,rep_votes,463567
nevada,2012,dem_votes,531373
nevada,2012,total_votes,1014918
new hampshire,2012,rep_votes,329918
new hampshire,2012,dem_votes,369561
new hampshire,2012,total_votes,710972
new jersey,2012,rep_votes,1477568
new jersey,2012,dem_votes,2125101
new jersey,2012,total_votes,3640292
new mexico,2012,rep_votes,335788
new mexico,2012,dem_votes,415335
new mexico,2012,total_votes,783758
new york,2012,rep_votes,2490431
new york,2012,dem_votes,4485741
new york,2012,total_votes,7081159
north carolina,2012,rep_votes,2270395
north carolina,2012,dem_votes,2178391
north carolina,2012,total_votes,4505372
north dakota,2012,rep_votes,188163
north dakota,2012,dem_votes,124827
north dakota,2012,total_votes,322627
